Auteur,Degré,Communauté
Jianmin Wang,3,4
"Bardenet, Rémi",3,22
irina rish,3,623
pouya bashivan,3,623
mohammed yeasin,3,623
Noel C. F. Codella,3,623
Irina Rish,3,625
Pouya Bashivan,3,625
Lili Cui,3,804
Xin Zhang,3,804
Paramvir Bahl,3,57
Ramón Caceres,3,57
Nigel Davies,3,57
Stephan F. Taylor,3,47
Shalini Gupta,3,78
Kihwan Kim,3,78
"Berkenkamp, Felix",3,626
"Turchetta, Matteo",3,626
Angela P. Schoellig,3,626
"Krause, Andreas",3,626
Ming-Wei Chang,3,76
Jouni Lampinen,3,628
Weiyang Liu,3,224
Yandong Wen,3,224
Mahdi Jafari Siavoshani,3,877
Erik M. Altmann,3,875
J. Gregory Trafton,3,875
Derek P. Brock,3,875
Farilee E. Mintz,3,875
Mohammad Rastegari,3,55
Vicente Ordonez,3,55
Yunfei Chen,3,107
Yanpei Liu,3,34
"Schrauwen, Benjamin",3,10
He Pengcheng,3,629
"Bergstra, James",3,22
"Kégl, Balázs",3,22
Alhussein Fawzi,3,4
Jan Koutník,3,10
Faustino J. Gomez,3,10
Amos Storkey,3,445
Cuong V. Nguyen,3,884
Yingzhen Li,3,884
Thang D. Bui,3,884
Guodong Wu,3,70
Qian Du,3,70
Siyu Shao,3,4
Stephen McAleer,3,4
Liu Xiaodong,3,629
Gao Jianfeng,3,629
Chen Weizhu,3,629
Hongjian Sun,3,107
Joseph Redmon,3,55
Ali Farhadi,3,55
Mohammad Lotfollahi,3,877
Ramin Shirali Hossein Zade,3,877
Srinivasan Iyer,3,44
Alvin Cheung,3,44
Anna Goldie,3,4
Muhan Zhang,3,78
Zhicheng Cui,3,78
Marion Neumann,3,78
Dan Klein,3,6
Denny Britz,3,4
Nikos Komodakis,3,116
Torsten Rohlfing,3,768
Randolf Menzel,3,768
Calvin R Maurer,3,768
Mohammdsadegh Saberian,3,877
Faustino Gomez,3,10
Timothy Hospedales,3,445
Paul Micaelli,3,445
"Bodel&#243;n, C",3,460
Michael E. Hasselmo,3,460
Bradley P. Wyble,3,460
Clara Bodelón,3,460
"Osband, Ian",3,10
"Van Roy, Benjamin",3,10
Brenden M. Lake,3,119
Tomer D. Ullman,3,119
Samuel J. Gershman,3,119
Yi Sun,3,28
Anthony I. Jack,3,675
Helen L. Gallagher,3,675
Andreas Roepstorff,3,675
Robert Brandt,3,768
Richard E. Turner,3,884
Ioannis Konstas,3,44
"Lu, Zhengdong",3,214
E A Maguire,3,760
N Burgess,3,760
H J Spiers,3,760
J O'Keefe,3,760
Tomer Doitshman,3,641
Yisroel Mirsky,3,641
Yuval Elovici,3,641
Asaf Shabtai,3,641
Guorui Feng,3,107
Qingping Lin,3,107
Robert Gay,3,107
Joel Emer,3,24
Duo Wang,3,234
Yu Cheng,3,234
Pan Zhou,3,234
Mantas Lukosevicius,3,3
"Lee, Kibok",3,317
"Lee, Kimin",3,317
Aurko Roy,3,3
Jacob Buckman,3,3
Colin Raffel,3,3
Joseph A. Maldjian,3,45
Paul J. Laurienti,3,45
Robert A. Kraft,3,45
Jonathan H. Burdette,3,45
Xinyu Zhou,3,6
Mengxiao Lin,3,6
V. Parmeshwaran,3,759
Ethan Holly,3,4
Xinyun Chen,3,34
"Hu, Baotian",3,214
Yong Rui,3,321
"Aquino, A.",3,322
"Shin, Jinwoo",3,317
"Dzamba, Misko",3,22
Sam Greydanus,3,22
"Greydanus, Samuel",3,22
Xiaofei He,3,76
David N Kennedy,3,18
"Levy, Omer",3,124
Teresa L. Ju,3,54
"Li, Hang",3,214
"Chen, Qingcai",3,214
M. Lawley,3,759
N. Gebraeel,3,759
R. Liu,3,759
Herbert Jaeger,3,3
Young-Seon Jeong,3,646
Myong-Kee Jeong,3,646
Mohammad R Arbabshirani,3,598
Sergey Plis,3,598
Jing Sui,3,598
Kazuki Nakashima,3,645
Hiroshi Sako,3,645
Hiromichi Fujisawa,3,645
Chia-Hui Yen,3,54
Chun-Ming Chang,3,54
Omar Fawzi,3,4
David J. Wu,3,249
Adam Coates,3,249
Jun Xu,3,321
Tao Mei,3,321
Ting Yao,3,321
Vijay Badrinarayanan,3,249
Zhao Chen,3,249
Murad Abu-Khalaf,3,453
"Marin, D.",3,322
"Gegundez-Arias, M.E.",3,322
"Bravo, J.M.",3,322
fan hu,3,323
guisong xia,3,323
jingwen hu,3,323
liangpei zhang,3,323
Devamanyu Hazarika,3,482
Kenneth Kwok,3,482
Ronald Clark,3,479
Hongkai Wen,3,479
Niki Trigoni,3,479
Manoel Castro-Neto,3,646
Stephen Merity,3,249
Kai Yu,3,30
Federico Monti,3,4
Ron Levie,3,4
Xavier Bresson,3,4
Xiaojian Ding,3,107
Ali Sharif Razavian,3,43
Hossein Azizpour,3,43
Josephine Sullivan,3,43
Stefan Carlsson,3,43
Hongyi Zhang,3,44
David Lopez-Paz,3,44
L. Upda,3,647
Robi Polikar,3,647
S. S. Upda,3,647
Vasant Honavar,3,647
"Tran, John",3,24
Francesco Galluppi,3,329
"Furber, S.B.",3,329
Stephan F Taylor,3,47
David G Gadian,3,327
Sébastien Jean,3,3
Hongsheng Li,3,28
Tackgeun You,3,249
Suha Kwak,3,249
Bohyung Han,3,249
"Kombrink, S.",3,207
"Cernocky, J.H.",3,207
Khaled Ben Letaief,3,208
Kaushik R. Chowdhury,3,23
David John Hughes,3,205
Lee D. Han,3,646
Alejandra Martínez-Monés,3,895
Amy Soller,3,895
Patrick Jermann,3,895
Martin Muehlenbrock,3,895
Jinjiang Wang,3,4
Eric H. Huang,3,249
Marc&apos;Aurelio Ranzato,3,44
stefanie jegelka,3,202
G Rizzolatti,3,749
V Gazzola,3,749
B Wicker,3,749
C Keysers,3,749
Maximilian Mumme,3,500
Oleksandr Shchur,3,500
"Han, Song",3,24
"Pool, Jeff",3,24
Jingzhou Liu,3,10
Yuexin Wu,3,10
Bart van Merrienboer,3,3
Guokun Lai,3,10
Wenyuan Zeng,3,3
Bin Yang,3,3
Emmanuel Maggiori,3,437
Yuliya Tarabalka,3,437
michael auli,3,6
wojciech zaremba,3,6
Moss Rowe,3,205
Mark Batey,3,205
Andrew Lee,3,205
Roland Memisevic,3,3
Bao-Liang Lu,3,331
Hongming Zhou,3,107
"Brox, Thomas",3,5
Max Jaderberg,3,10
hyun oh song,3,202
yu xiang,3,202
Adam Fisch,3,3
Ed Bullmore,3,199
Benjamin Bischke,3,748
Patrick Helber,3,748
Andreas Dengel,3,748
Damian Borth,3,748
Wang-Cheng Kang,3,117
Guillaume Charpiat,3,437
Pierre Alliez,3,437
Deyi Li,3,339
Kevin Clark,3,249
Urvashi Khandelwal,3,249
M D'Haene,3,433
D Stroobandt,3,433
J Pärkka,3,434
M Ermes,3,434
J Mantyjarvi,3,434
I Korhonen,3,434
Sergey Edunov,3,44
F. Renkens,3,430
J. Del R. Millan,3,430
J. Mourino,3,430
W. Gerstner,3,430
Giuseppe Masi,3,280
Giuseppe Scarpa,3,280
Sophie Achard,3,199
"Dosovitskiy, Alexey",3,5
"Springenberg, Jost Tobias",3,5
Matthew Hoffman,3,4
P. Ravisankar,3,326
G. Raghava Rao,3,326
I. Bose,3,326
Andre Teixeira Lopes,3,660
Edilson de Aguiar,3,660
Alberto F. De Souza,3,660
Thiago Oliveira-Santos,3,660
Maximilian Nickel,3,11
Volker Tresp,3,11
Evgeniy Gabrilovich,3,11
Lin Sun,3,81
Dit-Yan Yeung,3,81
Bertram E. Shi,3,81
B Schrauwen,3,433
D Verstraeten,3,433
Rogério Schmidt Feris,3,192
Nuno Vasconcelos,3,192
fan hong,3,667
shuzhi sam ge,3,667
"Lee, T.H.",3,667
"Li, Yuanzhi",3,735
Dan Cireşan,3,10
Deirdre Quillen,3,4
Adriano Pinto,3,130
Sérgio Pereira,3,130
Victor Alves,3,130
Carlos A. Silva,3,130
Matthew E. Peters,3,44
Waleed Ammar,3,44
Russell Power,3,44
Jack W. Stokes,3,4
Anthony Randal McIntosh,3,47
Hervé Abdi,3,47
Jimmy S. J. Ren,3,352
"Xu, Li",3,352
"Liu, Ce",3,352
"Jia, Jiaya",3,352
Ran He,3,178
Xiaoqian J. Chai,3,426
Dost Öngür,3,426
Pedro Pereira Rodrigues,3,190
"Lu, Jiasen",3,191
"Yang, Jianwei",3,191
"Batra, Dhruv",3,191
"Parikh, Devi",3,191
Quanfu Fan,3,192
Zhaowei Cai,3,192
Seppo Pahnila,3,428
"Jaderberg, Max",3,10
"Simonyan, Karen",3,10
"Zisserman, Andrew",3,10
"Qi, Charles Ruizhongtai",3,22
"Yi, Li",3,22
"Su, Hao",3,22
Barnabás Póczos,3,126
luisa verdoliva,3,669
Chakraborty Rudrasis,3,187
Yu Stella X.,3,187
João Gama,3,190
"Chen, Danqi",3,249
"Socher, Richard",3,249
"Manning, Christopher D.",3,249
Lynne J Williams,3,47
Yaniv Taigman,3,30
S Smith,3,31
Alfonso Nieto-Castañón,3,426
Kailash Gopalakrishnan,3,137
Pritish Narayanan,3,137
Claus Lamm,3,138
Pedro Medas,3,190
Gladys Castillo,3,190
Chen Yubei,3,187
Wang Jiayun,3,187
"Hang, C.C.",3,667
giovanni poggi,3,669
marco castelluccio,3,669
carlo sansone,3,669
Susan L. Whitfield-Gabrieli,3,426
Mikko Siponen,3,428
mohit bansal,3,725
kevin gimpel,3,725
karen livescu,3,725
Michael J Tarr,3,672
J. D. Poplinski,3,177
Chen Lu,3,6
Zhen-Ya Wang,3,6
Wei-Li Qin,3,6
Bruno Rossion,3,672
Carrie A Joyce,3,672
Garrison W Cottrell,3,672
Ankur Agrawal,3,137
Austin R. Benson,3,117
Xiang Wu,3,178
Zhenan Sun,3,178
Anish Rajendra Singh,3,126
Michael Fauser,3,909
Paul Bergmann,3,909
David Sattlegger,3,909
Chelsea Finn,3,4
Pascal Fries,3,25
Eric Maris,3,25
Jan-Mathijs Schoffelen,3,25
Giacomo Indiveri,3,417
Madiha J. Jafri,3,3
Michael C. Stevens,3,3
Mohit Iyyer,3,416
Varun Manjunatha,3,416
Jordan L. Boyd-Graber,3,416
Hal Daumé III,3,416
Carsten Steger,3,909
john wieting,3,725
Godfrey D. Pearlson,3,3
iulian serban,3,3
Ryan S. J. d. Baker,3,407
Sidney K. D'Mello,3,407
Ma.Mercedes T. Rodrigo,3,407
Arthur C. Graesser,3,407
Timothy W. Simpson,3,177
P. N. Koch,3,177
J. K. Allen,3,177
Hongyu Zhang,3,910
Xiaodong Gu,3,910
Dongmei Zhang,3,910
Sunghun Kim,3,910
Cheng-Yi Liu,3,81
Juan Eugenio Iglesias,3,81
Min Lim Choo,3,80
"Clune, Jeff",3,22
"Lipson, Hod",3,22
Mehmet C. Vuran,3,23
"Ranzato, M.",3,679
"Zeiler, M.D.",3,679
"Monga, R.",3,679
"Mao, M.",3,679
Cliff Chiung-Yu Lin,3,249
Huei-Fang Yang,3,680
Balázs Hidasi,3,139
Linas Baltrunas,3,139
Domonkos Tikk,3,139
Meng Joo Er,3,413
Shiqian Wu,3,413
Juwei Lu,3,413
Hock Lye Toh,3,413
Kaichun Mo,3,19
ashutosh saxena,3,202
Shantidev Mohanty,3,23
Narendra Ahuja,3,81
"Kulkarni, Tejas D.",3,119
"Whitney, William F.",3,119
"Kohli, Pushmeet",3,119
amir roshan zamir,3,202
ashesh jain,3,202
nissan pow,3,3
ryan lowe,3,3
Yiran Chen,3,681
N Kannathal,3,80
P K Sadasivan,3,80
Wei-Sheng Lai,3,81
Justin Johnson,3,11
"Sindhwani, V.",3,683
"Arisoy, E.",3,683
Luisa M. Zintgraf,3,83
Tameem Adel,3,83
Kevin Lin,3,680
Jen-Hao Hsiao,3,680
Chu-Song Chen,3,680
Mathieu Germain,3,3
Iain Murray,3,3
Linghao Song,3,681
Xuehai Qian,3,681
Hai Li,3,681
Angelos Katharopoulos,3,916
Apoorv Vyas,3,916
Nikolaos Pappas,3,916
Francois Fleuret,3,916
V. Roto,3,686
J. Kuorelahti,3,686
Lerrel Pinto,3,6
Morten Kolbæk,3,76
Nicholas J Schmansky,3,120
H Diana Rosas,3,120
Jongchan Park,3,717
Sanghyun Woo,3,717
Joon-Young Lee,3,717
In So Kweon,3,717
Shin-ichi Maeda,3,3
Masanori Koyama,3,3
Shin Ishii,3,3
oriol vinyals,3,142
"Kingsbury, B.",3,683
"Sainath, T.N.",3,683
Lang Tong,3,70
C Brunner,3,368
G Pfurtscheller,3,368
A Schlögl,3,368
F H Lopes da Silva,3,368
Kai Keng Ang,3,370
Zhang Yang Chin,3,370
Haihong Zhang,3,370
Cuntai Guan,3,370
Le Kang,3,67
Peng Ye,3,67
David S. Doermann,3,67
Yunxia Chen,3,70
Martin Reuter,3,120
A. Oulasvirta,3,686
S. Tamminen,3,686
Kai Arulkumaran,3,165
Marc Peter Deisenroth,3,165
Zheng-Hua Tan,3,76
Jesper Jensen,3,76
Kyong Hwan Jin,3,166
Michael T. McCann,3,166
Emmanuel Froustey,3,166
Michael Unser,3,166
"Akyildiz, I.F.",3,23
"Vuran, Mehmet C.",3,23
Ricardo de Oliveira-Souza,3,715
Ivanei E Bramati,3,715
Jordan Grafman,3,715
olga russakovsky,3,11
serena yeung,3,11
greg mori,3,11
"Bengio, Samy",3,10
"Jaitly, Navdeep",3,10
"Shazeer, Noam",3,10
Theodore Bluche,3,3
V. Pham,3,3
Christopher Kermorvant,3,3
Albert T. Corbett,3,405
Ryan Shaun Baker,3,405
Jorge Moll,3,715
Nicole D Anderson,3,146
Jill K Locantore,3,146
Anthony R McIntosh,3,146
"Mohanty, S.",3,23
James Martens,3,4
Beibei Wang,3,167
Alexander Kolesnikov,3,400
jason weston,3,6
F F Leung,3,372
H K Lam,3,372
S H Ling,3,372
P S Tam,3,372
Stephen Smith,3,18
Jian Sun 0001,3,6
Peter Bannister,3,18
Michael Brady,3,18
Ankur Handa,3,917
John McCormac,3,917
Andrew J. Davison,3,917
Stefan Leutenegger,3,917
Saeid Nahavandi,3,838
Miles Brundage,3,165
Anil Anthony Bharath,3,165
Yaguang Li,3,44
Doug Creighton,3,838
Amir F Atiya,3,838
Jason B. Diamond,3,399
Rasmus M. Birn,3,399
Monica A. Smith,3,399
Peter A. Bandettini,3,399
Rong Zheng,3,250
Cyrus Shahabi,3,44
Ke Yu,3,28
Xintao Wang,3,28
Emilio Kropff,3,652
James E. Carmichael,3,652
Edvard I. Moser,3,652
antoine bordes,3,6
felix hill,3,6
Hinrich Schütze,3,396
C. L. Philip Chen,3,919
Guo-Xing Wen,3,919
Yan-Jun Liu,3,919
Fei-Yue Wang,3,919
Chee-Kheong Siew,3,107
"Schlipsing, M.",3,692
Jeremy Bernstein,3,693
Yu-Xiang Wang,3,693
"Schalk, G.",3,160
"Hinterberger, T.",3,160
"Birbaumer, N.",3,160
Angela Z. Wagner,3,405
Feng Wang,3,11
Xiang Xiang,3,11
Rose Yu,3,44
daniel jurafsky,3,163
Adhiguna Kuncoro,3,44
Xavier Glorot,3,3
Eduardo Romera,3,376
Jiexun Li,3,250
Jose M. Alvarez,3,376
Luis Miguel Bergasa,3,376
"Houben, S.",3,692
"Stallkamp, J.",3,692
"Salmen, J.",3,692
Feifei Li,3,194
Min Du,3,194
Guineng Zheng,3,194
Katharina Kann,3,396
Wenpeng Yin,3,396
Mo Yu,3,396
"Povey, D.",3,207
yann lecun,3,152
Yacine Jernite,3,44
Chao Ma,3,81
"McFarland, D.J.",3,160
Iñaki Iturrate,3,697
Javier M. Antelis,3,697
Andrea Kübler,3,697
Javier Minguez,3,697
Andrew Brock,3,698
Theodore Lim,3,698
James Millar Ritchie,3,698
Nicholas J. Weston,3,698
Ari Seff,3,6
xinlei chen,3,163
eduard hovy,3,163
Roberto Arroyo,3,376
Andres Milioto,3,924
Ignacio Vizzo,3,924
Jens Behley,3,924
Cyrill Stachniss,3,924
MaríA José RodríGuez-FóRtiz,3,925
ÁLvaro FernáNdez-LóPez,3,925
MaríA Luisa RodríGuez-Almendros,3,925
Greg Corrado,3,4
Santosh Kumar Divvala,3,6
joseph redmon,3,6
Chenyi Chen,3,6
Alain L. Kornhauser,3,6
Dong Yi,3,158
Shengcai Liao,3,158
"Deoras, A.",3,207
"Ren, Shaoqing",3,6
"Stilla, U.",3,400
Amitabh Basu,3,519
jian sun,3,0
shaoqing ren,3,0
xiangyu zhang,3,0
Sebastian Cammerer,3,704
Sebastian Dörner,3,704
Jakob Hoydis,3,704
Stephan ten Brink,3,704
Kimin Lee,3,249
Kibok Lee,3,249
Jinwoo Shin,3,249
Jurgen Schmidhuber,3,10
Osamu Fukuda,3,707
Toshio Tsuji,3,707
Marek Reformat,3,841
Kazuma Hashimoto,3,249
Yoshimasa Tsuruoka,3,249
Jian Liu,3,842
Mika Juuti,3,842
Poorya Mianjy,3,519
Anirbit Mukherjee,3,519
Yuxuan Wang,3,189
Hui Yuan Xiong,3,928
Michael K. K. Leung,3,928
Leo J. Lee,3,928
Brendan J. Frey,3,928
hinrich schutze,3,380
wenpeng yin,3,380
MaríA José MartíNez-Segura,3,925
"He, Kaiming",3,6
"Hinton, Geoffrey E.",2,1
Olaf Ronneberger,2,5
Kuniaki Saito,2,241
Yoshitaka Ushiku,2,241
Tatsuya Harada,2,241
Arun Narayanan,2,189
Daniel Holden,2,8
Jun Saito,2,8
Taku Komura,2,8
"Krizhevsky, Alex",2,1
Seth Rogers,2,389
Pat Langley,2,389
John E. Laird,2,389
Fabrizio Esposito,2,388
Johan Himberg,2,388
Aapo Hyvärinen,2,388
Qiongkai Xu,2,394
Wei Lu,2,394
Shaosheng Cao,2,394
Okyay Kaynak,2,391
Erdal Kayacan,2,391
Baris Ulutas,2,391
Ran El Yaniv,2,3
Robert Jenke,2,710
Angelika Peer,2,710
Zhe Wu,2,81
Li Su,2,81
Hugh Herr,2,709
Samuel Au,2,709
Max Berniker,2,709
Thalaiyasingam Ajanthan,2,81
Namhoon Lee,2,81
Anant Sahai,2,155
Anand Rangarajan,2,11
Russ Tedrake,2,711
Vincent Tjeng,2,711
Kai Xiao,2,711
Martin Buss,2,710
Cordelia Schmid,2,3
Guilhem Chéron,2,3
michael mathieu,2,152
camille couprie,2,152
Grégoire Montavon,2,151
sheng wang,2,117
Wu-Jun Li,2,117
Deepak Khosla,2,126
Yongqiang Cao,2,126
Robin Jia,2,117
Pranav Rajpurkar,2,117
Nicol N. Schraudolph,2,10
Felix A. Gers,2,10
Germán Kruszewski,2,159
Marco Baroni,2,159
Georgiana Dinu,2,159
"Greff, Klaus",2,10
Jehoshua Bruck,2,374
Lulu Qian,2,374
Nancy A. Cheever,2,377
"Saunders, J.R.",2,922
Gang Sun,2,10
Jie Hu,2,10
"Wu, Q.H.",2,922
"He, S.",2,922
James J DiCarlo,2,921
Nicolas Pinto,2,921
David D Cox,2,921
Byron C. Wallace,2,12
Juan Carlos Roca,2,54
Chris J. Maddison,2,3
Roberto Cipolla,2,145
Matthew Grimes,2,145
Rajkumar Buyya,2,714
Suraj Pandey,2,714
Mahmut Ozer,2,689
Umut Orhan,2,689
Christian Vecchiola,2,714
Matt Fredrikson,2,70
Kouichi Sakurai,2,144
Jiawei Su,2,144
Danilo Vasconcellos Vargas,2,144
Sebastian Gehrmann,2,44
Tom Mitchell,2,10
Joseph W Kable,2,170
Oscar Bartra,2,170
Joseph T McGuire,2,170
"Erhan, Dumitru",2,169
Mahmut Hekim,2,689
Francisco José Martínez,2,54
roberto cipolla,2,14
vijay badrinarayanan,2,14
alex kendall,2,14
Steve Lawrence,2,48
C. Lee Giles,2,48
"Neubig, Graham",2,124
"Michel, Paul",2,124
Melek Acar Boyacioglu,2,397
Hsun-Ping Hsieh,2,203
Furui Liu,2,203
ÖMer Kaan Baykan,2,397
Yakup Kara,2,397
baoliang lu,2,918
"Curio, Gabriel",2,678
"Blankertz, Benjamin",2,678
Thomas Elsken,2,5
Jan Hendrik Metzen,2,5
Alex Kendall,2,145
"Toshev, Alexander",2,169
"Szegedy, Christian",2,169
Xiao-Wei Wang,2,331
Dan Nie,2,331
Soumith Chintala,2,4
Pierre Sermanet,2,4
Xiaohua Zhai,2,400
A M Dale,2,174
B Fischl,2,174
A Liu,2,174
Qiang Wu,2,412
Ping Li,2,412
Hiroshi Ishikawa,2,11
Satoshi Iizuka,2,11
weilong zheng,2,918
jiayi zhu,2,918
Sungyong Seo,2,44
Natali Ruchansky,2,44
Alexander Hermans,2,400
Joost N. Kok,2,369
sander m bohte,2,369
johannes a la poutre,2,369
cordelia schmid,2,401
ivan laptev,2,401
gul varol,2,401
Seunghyun Lee,2,107
Mohamed Ahmed,2,141
Mathias Niepert,2,141
Oral Büyüköztürk,2,140
Young-Jin Cha,2,140
Wooram Choi,2,140
Hai Jiang,2,723
Saman Atapattu,2,723
Arsha Nagrani,2,10
Mateusz Buda,2,176
Atsuto Maki,2,176
Chintha Tellambura,2,723
Peicheng Zhou,2,402
Glenn A. Woodell,2,673
Zia-ur Rahman,2,673
Daniel J. Jobson,2,673
Ye Jong Chul,2,726
Park Sangjoon,2,726
Oh Yujin,2,726
Konstantin Kutzkov,2,141
Maxine Eskénazi,2,677
Tiancheng Zhao,2,677
Ran Zhao,2,677
Daniel Zügner,2,500
Amir Akbarnejad,2,500
Kaibin Huang,2,107
martin arjovsky,2,40
amar shah,2,40
Rob Hyndman,2,730
Xiaozhe Wang,2,730
Kate Smith,2,730
Marcel Salathé,2,728
Sharada Prasanna Mohanty,2,728
David P. Hughes,2,728
Hehe Fan,2,30
Joon Son Chung,2,10
yuan lan,2,180
dian hui wang,2,180
Guang-Bin HuangDian,2,180
Maria-Gabriella Di Benedetto,2,915
Emilio Calvanese Strinati,2,915
Antonio De Domenico,2,915
G. Sandini,2,914
Ravi Netravali,2,406
Hongzi Mao,2,406
Mohammad Alizadeh,2,406
G. Metta,2,914
Kolbeinn Arnason,2,457
Martino Pesaresi,2,457
M. Veerachary,2,732
Tania Singer,2,138
A. Mohamed,2,50
James L. McClelland,2,4
Andrew M. Saxe,2,4
"Chen, Enhong",2,182
"Xu, Linli",2,182
"Xie, Junyuan",2,182
Julian McAuley,2,117
Terrence Sejnowski,2,181
K. Uezato,2,732
T. Senjyu,2,732
Friedemann Zenke,2,4
Ronald M. Summers,2,188
Bram van Ginneken,2,188
Micah Ortúzar,2,668
Juan Dixon,2,668
Jorge Moreno,2,668
LA Zadeh,2,186
D. Vernon,2,914
Thomas A. W. Bolton,2,409
Maria Giulia Preti,2,409
Quoc Viet Le,2,412
robert j ragno,2,412
Gregory Shakhnarovich,2,411
Michael Maire,2,411
Gustav Larsson,2,411
Cecilia Ovesdotter Alm,2,358
Brian Funt,2,736
Vlad Cardei,2,736
Kobus Barnard,2,736
"Liang, Yingyu",2,735
"Allen-Zhu, Zeyuan",2,735
Carl Kesselman,2,734
Nicholas R. Jennings,2,734
Ian T. Foster,2,734
Natarajan Sriraam,2,666
Vairavan Srinivasan,2,666
Ravikumar Balakrishnan,2,23
Brandon F. Lo,2,23
Qi Tian,2,30
Hong-Yuan Mark Liao,2,662
Chien-Yao Wang,2,662
Alexey Bochkovskiy,2,662
cong yao,2,132
xiang bai,2,132
baoguang shi,2,132
Peter R. Conwell,2,738
Sepp Hochreiter,2,738
A. Steven Younger,2,738
Rie Johnson,2,364
"Wang, M.Q.",2,362
"Gooi, H.B.",2,362
"Chen, S.X.",2,362
Rodney Douglas,2,417
Elisabetta Chicca,2,417
Qingquan Song,2,249
Haifeng Jin,2,249
H BARBAS,2,742
H GHASHGHAEI,2,742
C HILGETAG,2,742
Robert R. Hoffman,2,741
Gary Klein,2,741
Brian Moon,2,741
Chikkannan Eswaran,2,666
Mathews Jacob,2,665
Merry P. Mani,2,665
Hemant Kumar Aggarwal,2,665
"Reed, J.H.",2,359
"Thomson, D.J.",2,359
"Haykin, Simon",2,359
Richard Sproat,2,358
Dan Roth,2,358
Qiang Chen,2,26
Nahid Dadmehr,2,80
Xin Geng,2,103
De-Chuan Zhan,2,103
Leonardo Bonilha,2,420
Hans-Otto Karnath,2,420
Chris Rorden,2,420
kyuyeon hwang,2,747
Wenyan Gan,2,339
Changyu Liu,2,339
Samanwoy Ghosh-Dastidar,2,80
H. T. Kung,2,744
Surat Teerapittayanon,2,744
Bradley McDanel,2,744
wonyong sung,2,747
sajid anwar,2,747
Reza Forghani,2,173
Alex P. Zijdenbos,2,173
Chukwudi Anyakoha,2,655
Jonathan Vincent,2,655
Alec Banks,2,655
David F. Gleich,2,117
Charles A. Sutton,2,249
Miltiadis Allamanis,2,249
Wang-Chien Lee,2,158
Tao-Yang Fu,2,158
Ryan Prescott Adams,2,3
"Fergus, Rob",2,424
"szlam, arthur",2,424
"Sukhbaatar, Sainbayar",2,424
Nicholas Frosst,2,4
Alice S. N. Kim,2,204
Raymond A. Mar,2,204
Laurent Dinh,2,3
David Krueger,2,3
Thomas P. Karnowski,2,201
"Rose, D.C.",2,201
Itamar Arel,2,201
Alexandra Birch,2,127
Rico Sennrich,2,127
Barry Haddow,2,127
Sara Sabour,2,4
P Mitra,2,422
S Mitra,2,422
S K Pal,2,422
Y Zhang,2,31
M Brady,2,31
Alan Evans,2,839
Alex Zijdenbos,2,839
Seyed-Ahmad Ahmadi,2,33
Nassir Navab,2,33
junyuan xie,2,6
Sandra Streukens,2,649
Rita Walczuch,2,649
Jos Lemmink,2,649
Ligeng Zhu,2,24
Han Cai,2,24
"Leahy, R.M.",2,206
"Mosher, J.C.",2,206
"Baillet, S.",2,206
Fausto Milletari,2,33
Anthony Vance,2,428
G Jobard,2,13
Heiga Ze,2,4
Fuxin Li,2,353
Zhongang Qi,2,353
Wenxuan Wu,2,353
Mario Fritz,2,6
Mateusz Malinowski,2,6
M. Adam Mahmood,2,428
Ran Li,2,642
Romain Paulus,2,249
"Nowozin, Sebastian",2,215
"Cseke, Botond",2,215
Robert Turner,2,123
Thomas R. Knösche,2,123
Derek K. Jones,2,123
yishu miao,2,754
lei yu,2,754
Abdulkadir Sengur,2,757
Resul Das,2,757
Ibrahim Turkoglu,2,757
Paul C. Miller,2,756
Niall McLaughlin,2,756
Jesús Martínez del Rincón,2,756
phil blunsom,2,754
Thomas A. Funkhouser,2,5
Fisher Yu,2,5
Choong-Wan Woo,2,47
Tsung-Yi Lin,2,4
Golnaz Ghiasi,2,4
Ali Mollahosseini,2,341
Pouya Samangouei,2,251
Xiaojun Zeng,2,36
Johan Bollen,2,36
Huina Mao,2,36
Maya Kabkab,2,251
Andrew Senior,2,68
Mohammad H. Mahoor,2,341
Behzad Hassani,2,341
Zeyuan Allen-Zhu,2,6
Karl T. Ulrich,2,439
Karan Girotra,2,439
Inyeop Lee,2,639
Yuanqing Lin,2,762
Wongun Choi,2,762
Fan Yang,2,762
Tobias Domhan,2,5
Tae Hyun Kim,2,56
Amit Kadam,2,217
Glenn Walker,2,217
Dursun Delen,2,217
Minghao Xu,2,642
Heng Shi,2,642
Maxim Egorov,2,196
John C. Duchi,2,635
Hongseok Namkoong,2,635
Aman Sinha,2,635
Herbert Kimura,2,765
Flavio Barboza,2,765
Fatih Porikli,2,764
Samitha Herath,2,764
Mehrtash Tafazzoli Harandi,2,764
Jayesh K. Gupta,2,196
Christoph M Michel,2,409
Juliane Britz,2,409
Christian Lebiere,2,640
Javier F Lerch,2,640
Cleotilde Gonzalez,2,640
Jaewoo Kang,2,639
Junhyun Lee,2,639
Vitali Petsiuk,2,6
Abir Das,2,6
Edward Altman,2,765
Koene R. A. Van Dijk,2,120
Qiang Wang,2,638
Zhipeng Zhang,2,638
Houwen Peng,2,638
Ainur Yessenalina,2,79
Nikos Karampatziakis,2,79
Emily S. Cross,2,637
Antonia F. de C. Hamilton,2,637
Michael Zollh&ouml;fer,2,440
Sachin Sudhakar Farfade,2,11
Mohammad J. Saberian,2,11
Paulo Rita,2,267
